,Provider ID,MORT_30_AMI,MORT_30_CABG,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK
2255,241351,0.0,0.0,0.0,13.0,18.2,0.0
2256,241352,0.0,0.0,0.0,0.0,0.0,0.0
2257,241353,0.0,0.0,8.0,13.6,16.1,0.0
2258,241354,0.0,0.0,0.0,12.8,14.1,0.0
2259,241355,0.0,0.0,0.0,11.5,17.6,0.0
2260,241356,0.0,0.0,0.0,11.8,15.9,0.0
2261,241357,0.0,0.0,0.0,12.1,15.8,0.0
2262,241358,0.0,0.0,0.0,0.0,0.0,0.0
2263,241359,0.0,0.0,8.0,12.1,17.2,0.0
2264,241360,0.0,0.0,0.0,0.0,17.7,0.0
2265,241361,0.0,0.0,0.0,11.8,16.0,0.0
2266,241362,0.0,0.0,0.0,12.5,15.5,0.0
2267,241363,0.0,0.0,8.9,11.3,13.2,0.0
2268,241364,0.0,0.0,8.5,13.5,16.8,0.0
2269,241365,0.0,0.0,0.0,0.0,15.5,0.0
2270,241366,0.0,0.0,0.0,0.0,17.2,0.0
2271,241367,0.0,0.0,7.2,11.3,15.9,0.0
2272,241368,0.0,0.0,0.0,0.0,0.0,0.0
2273,241369,0.0,0.0,0.0,13.9,15.6,0.0
2274,241370,0.0,0.0,8.0,0.0,17.5,0.0
