,Provider ID,HAI_1_SIR,HAI_2_SIR,HAI_3_SIR,HAI_4_SIR,HAI_5_SIR,HAI_6_SIR,COMP_HIP_KNEE,PSI
162,30132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3899999999999997
163,30134,0.0,0.0,0.0,0.0,0.0,0.439,0.0,10.08
164,30136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,30137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,31300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,31301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,31302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,31304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,31305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,31307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,31308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,31309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,31311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,31312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,31313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,31314,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
178,31315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,31317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,33301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,33302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,33303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,40001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.32
184,40002,0.0,0.0,0.0,0.0,0.0,0.6940000000000001,3.7,21.790000000000003
185,40004,1.179,0.779,0.452,0.0,1.556,0.511,1.9,164.79
186,40007,1.359,0.81,0.958,0.0,1.291,0.419,2.7,167.85
187,40010,0.512,0.5329999999999999,0.743,0.0,0.0,0.7909999999999999,3.4,131.34
188,40011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24
189,40014,0.48100000000000004,0.0,0.0,0.0,0.865,0.5529999999999999,2.4,154.65
190,40015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9799999999999995
191,40016,0.314,0.6809999999999999,0.5770000000000001,0.24,0.614,1.057,0.0,172.90000000000003
192,40017,0.0,0.0,0.0,0.0,0.0,0.358,2.2,162.61
193,40018,0.0,0.0,0.0,0.0,0.0,1.5730000000000002,0.0,8.61
194,40019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.870000000000001
195,40020,1.08,1.139,0.87,0.0,2.5989999999999998,0.45299999999999996,2.9,146.9
196,40022,0.654,0.436,1.151,0.209,0.0,0.436,3.3,150.60000000000002
197,40026,0.5710000000000001,0.9470000000000001,0.726,0.0,1.716,1.021,2.2,143.13000000000002
198,40027,1.2409999999999999,0.601,0.406,0.0,1.18,0.98,2.6,164.51
199,40029,0.722,0.092,0.0,0.0,2.029,1.314,3.0,181.22000000000003
200,40036,0.5379999999999999,0.45799999999999996,0.9079999999999999,0.0,0.551,0.7929999999999999,3.5,146.66
201,40039,0.0,0.315,0.0,0.0,0.848,0.289,3.3,9.59
202,40041,0.7609999999999999,0.16699999999999998,2.079,0.0,1.903,0.341,3.4,170.0
203,40047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33
204,40050,0.0,0.0,0.0,0.0,0.0,0.838,3.3,18.429999999999996
205,40051,0.0,0.0,0.0,0.0,0.0,0.6629999999999999,0.0,8.16
206,40055,0.998,0.28,0.6779999999999999,0.0,2.582,0.48200000000000004,3.7,119.49000000000001
207,40062,0.077,0.321,0.898,0.0,0.314,0.7759999999999999,2.5,120.67
208,40067,0.0,0.0,0.0,0.0,0.0,0.35600000000000004,0.0,12.599999999999998
209,40069,0.0,0.723,0.0,0.0,0.0,1.5759999999999998,0.0,8.44
210,40071,0.40399999999999997,0.331,0.0,0.0,0.0,0.755,3.3,140.5
211,40072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22
212,40074,0.0,0.38299999999999995,0.0,0.0,0.0,0.955,0.0,8.739999999999998
213,40076,0.0,2.503,0.0,0.0,0.0,0.0,0.0,8.950000000000001
214,40078,0.812,0.625,2.5580000000000003,0.0,1.4469999999999998,0.963,3.9,202.24999999999997
215,40080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,40084,0.0,0.16,0.0,0.0,0.9279999999999999,0.475,2.1,15.620000000000001
217,40085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.36
218,40088,0.0,0.7120000000000001,0.0,0.0,0.0,1.016,4.1,196.32000000000002
219,40114,0.8370000000000001,1.068,1.176,0.922,1.325,0.701,3.5,188.7
220,40118,0.14,0.086,0.34299999999999997,0.0,1.98,0.778,3.3,149.96
221,40119,0.41600000000000004,0.105,3.9530000000000003,0.0,2.182,0.36,3.2,181.77
